,names,learned_vals,True_vals,parameters_error
0,v_max_AckA,188564.21875,336940.01763224584,0.4403626494855563
1,v_max_Pta,8617765.0,9565521.763455136,0.09908050882033634
2,v_max_glycolysis,29703.91796875,5557.64,4.344699902971405
3,Ki_ACE_glycolysis,16.06678581237793,36.6776,0.5619455522613821
4,Km_ACCOA_TCA_cycle,936.233154296875,24.759179607035055,36.813577394577905
5,v_max_TCA_cycle,33433506.0,740859.8734990103,44.12797520278261
6,Ki_ACE_TCA_cycle,0.1535196304321289,2.3261654310710522,0.9340031330611586
7,Y,0.00043079021270386875,9.980425734506176e-05,3.316351067214107
8,v_max_acetate_exchange,2005287.5,480034.5536336427,3.1773815755988566
9,Km_ACE_acetate_exchange,997.6361083984375,33.15358053265956,29.091353403463227
