F,I_in,K_I,K_S,S_in,Y_XS,k_P,k_d,mu_max
0.06046946710800444,5.825554030207388,0.1715142089692266,0.07659247409966508,543.4786522763927,0.5841694471043491,0.05876055508462048,0.01617956555490366,0.533777969557672
0.07135951858390358,11.8980647245352,0.17582162816514146,0.1065389337586586,559.6948567870622,0.42246418172925554,0.05474520011577273,0.017399167403743896,0.6500771212925749
0.1483508891163065,10.177632102209309,0.11878535650211895,0.10528467048111291,411.0561916453183,0.43711653939859585,0.06073927526791252,0.018682789185725007,0.4022612370873391
0.14961027522152076,9.340924086225378,0.16131608771008482,0.12487046275247558,596.4020368137137,0.5411337904649638,0.06160670691350818,0.009518690273651556,0.5193996432620995
0.0807818492633732,13.135476861534421,0.16625324352818316,0.05869347569737046,554.990873594816,0.4392758918254235,0.0588571689754778,0.01621105693368206,0.730748481298551
0.10605312981745785,14.477684898546604,0.15721929234597154,0.12481521978543367,460.64959178016716,0.47871371735898305,0.053109082098577426,0.00918186615541283,0.5898251094896587
0.19607530448898464,10.556454618878607,0.09932240174042242,0.1305122593201059,451.61632334593014,0.48841793367169917,0.03857350864736978,0.012694002636103228,0.4663997444818695
0.13848093794225372,14.351507663907574,0.13930659554586453,0.143430383134598,488.77386375177724,0.47437789688370213,0.030387983230287005,0.012824367920064687,0.6135621681950544
0.16416627236952724,14.260328163967607,0.080962644275571,0.08766731647053988,573.6303163796388,0.4509026519615146,0.06677669134135263,0.009090515293024803,0.6854964477773207
0.06186499779177213,10.524846309000093,0.11156546710169458,0.17832705480551103,514.6718110136441,0.49273924823213733,0.03994129110203064,0.007022980305060499,0.7473998996198497
0.09052871487555497,12.626072973662641,0.08506939457302076,0.15095932284487834,427.9414129858121,0.47573992232086126,0.05283104000651162,0.01634637080063802,0.5801781164793455
0.18378253842070613,12.32773437645117,0.1919972373626901,0.15196402310472074,424.228750516668,0.5083561269033126,0.04626236439943916,0.00816232404912338,0.7883980042567856
0.18282546726313514,7.703349689001829,0.17540686633968972,0.12913546257363678,421.00531489660773,0.5887576113194846,0.05305859789949814,0.010045195987666122,0.46439062462198055
0.06707220097644417,9.194367387509363,0.1764145588525508,0.12851342224036955,574.5645205756165,0.4375978451093094,0.04418508188243805,0.012772009918817946,0.6174354504681805
0.15423402623132254,12.073388754288025,0.1587302217924506,0.10542880888315113,511.33939797436705,0.402437564205131,0.042493543879720395,0.01777908028029961,0.6205865164178254
0.18608324859281522,5.727514968659651,0.07800077235788697,0.1651113670891844,592.9831601394588,0.5296988191178457,0.03948891702117131,0.01843271129477979,0.41266906123551095
0.1954253701914948,12.859149415478507,0.12357156030096277,0.1276315081202671,511.71897350353044,0.5773141455154737,0.057383883778432176,0.009685636431222493,0.6368473144548311
0.12892571004088949,13.202320551064219,0.18815959062138238,0.05152154924624621,541.5243702608998,0.42745630521470335,0.0644644427534769,0.008941978307055821,0.4222443313847566
0.10797140635023708,9.952308388768685,0.061039973091094005,0.07287805925632988,443.49175341643,0.5168238487629516,0.036824919181290564,0.008424200674526549,0.5922323083139733
0.07628340935693272,6.4392567546250845,0.1881989720362251,0.1912899324500848,548.0695753577664,0.5319167693634815,0.03467257465282945,0.013639295332658646,0.5088913233271738
0.16629274249934448,5.2168435029450855,0.1355616002203046,0.16088405288375476,419.6984102617197,0.5608748256392645,0.050851512178152064,0.01807014859646029,0.4986042676320158
0.145316179495846,9.855429946827426,0.15778045926169126,0.06698986464756428,508.43379811420425,0.4790701688352808,0.04264637211668131,0.016920597188252225,0.6703465845336507
0.05628832130206853,11.699051664409811,0.08208663575299974,0.14245257235457193,414.77603945458856,0.5115246125970719,0.034874855358123416,0.013512515187746592,0.5698224353697607
0.14445735087210315,12.748460722519923,0.1750330247967572,0.08516256495525412,409.41859030943954,0.4985487961779645,0.04005435038480911,0.011032869724441608,0.7153223895723702
0.08969005555312026,7.89200336920362,0.1275196987266382,0.17468923786375284,561.2856886524166,0.424029402796951,0.05690545318888353,0.016100804839388354,0.6703792962258204
0.16661051803730098,6.31680709929391,0.07826683366816858,0.08317906046307538,520.0708749401846,0.5697394658070809,0.03686090620050013,0.007345363799870462,0.4244871288748105
0.13624556897526693,9.48575296105256,0.13633393124091547,0.14380557354789963,557.7340531778053,0.5816785757540978,0.0639451096461736,0.013537926009888693,0.7636444071477668
0.06267554939688451,9.508150501043584,0.09985794516432014,0.09890618975427845,524.7780437308321,0.49787182629392834,0.06160524364214709,0.012485395022904633,0.6304327326248897
0.18304787120589128,13.77417580680375,0.10186977306505297,0.17863253125141576,506.96647738155053,0.562033999080662,0.06928757723953541,0.018472949797232113,0.6676212589681865
0.08784623229500281,10.720509407073253,0.1592650070740413,0.14585860962193498,594.4590939179972,0.4548623856637938,0.05700168932834755,0.005182283765228355,0.7983928891318037
